PIN2,HOUSE_UNIT,PROPERTY_TYPE
10253140070000,1,1
10253140080000,1,1
10253140090000,1,1
10253140100000,1,1
10253140110000,1,1
10253140120000,1,1
10253140130000,1,1
10253140140000,1,1
10253140150000,1,1
10253140180000,1,1
10253140190000,1,1
10253140200000,1,1
10253140210000,1,1
10253140220000,1,1
10253140230000,1,1
10253140240000,1,1
10253140250000,1,1
10253140260000,1,1
10253140270000,1,1
10253140280000,1,1
10253140290000,1,1
10253140300000,1,1
10253140310000,1,1
10253140320000,1,1
10253140330000,1,1
10253140340000,1,1
10253140350000,1,1
10253140360000,1,1
10253140370000,1,1
10253140380000,1,1
10253140390000,1,1
10253150040000,1,1
10253150050000,1,1
10253150060000,1,1
10253150070000,1,1
10253150080000,1,1
10253150090000,1,1
10253150100000,1,1
10253150110000,1,1
10253150120000,1,1
10253150130000,1,1
10253150140000,1,1
10253150150000,1,1
10253150160000,1,1
10253150170000,1,1
10253150200000,1,1
10253150210000,1,1
10253150220000,0,5
10253150270000,1,1
10253150280000,1,1
10253150290000,1,1
10253150300000,1,1
10253150390000,1,1
10253150410000,1,1
10253150470000,1,1
10253150480000,1,1
10253150490000,1,1
10253150500000,0,5
10253150510000,1,1
10253150520000,1,1
10253150530000,1,1
10253150540000,1,1
10253160050000,0,5
10253160210000,0,5
10253160220000,0,5
10253170010000,1,1
10253170020000,1,1
10253170070000,1,1
10253170080000,1,1
10253170090000,1,1
10253170100000,1,1
10253170110000,1,1
10253170150000,1,1
10253170160000,1,1
10253170170000,1,1
10253170180000,1,1
10253170190000,1,1
10253170200000,1,1
10253170210000,1,1
10253170220000,1,1
10253170230000,1,1
10253170240000,1,1
10253170250000,1,1
10253170260000,0,5
10253170270000,1,1
10253170280000,1,1
10253170290000,1,1
10253170300000,1,1
10253170310000,1,1
10253170320000,1,1
10253170330000,1,1
10253170340000,1,1
10253180040000,1,1
10253180050000,1,1
10253180060000,1,1
10253180070000,1,1
10253180080000,1,1
10253180090000,1,1
10253180100000,1,1
10253180110000,1,1
10253180120000,1,1
10253180130000,1,1
10253180140000,1,1
10253180150000,1,1
10253180160000,1,1
10253180170000,1,1
10253180180000,1,1
10253180190000,1,1
10253180200000,1,1
10253180210000,1,1
10253180220000,1,1
10253180230000,1,1
10253180240000,1,1
10253180250000,1,1
10253180260000,1,1
10253180270000,1,1
10253180280000,1,1
10253180290000,1,1
10253180300000,1,1
10253180310000,1,1
10253180320000,1,1
10253180330000,1,1
10253180360000,1,1
10253180370000,1,1
10253180380000,1,1
10253180390000,1,1
10253190010000,1,1
10253190020000,1,1
10253190030000,1,1
10253190040000,1,1
10253190050000,1,1
10253190060000,1,1
10253190070000,1,1
10253190080000,1,1
10253190090000,1,1
10253190100000,1,1
10253190110000,1,1
10253190120000,1,1
10253190130000,1,1
10253190140000,1,1
10253190150000,1,1
10253190160000,1,1
10253190170000,1,1
